Date,CVX,GLD,GOOG,GOOGL,GS,HD,IAU,IVV,KO,LOW,MA,MS,PEP,SPY,TGT,V,VOO,WMT,XOM
2013-01-02,63.15379333496094,163.1699981689453,17.85629653930664,17.940265655517578,102.17657470703125,46.36503219604492,32.79999923706055,116.10480499267578,24.749622344970703,28.2563533782959,47.0303840637207,14.049768447875977,46.20957946777344,115.9928970336914,39.13172149658203,35.20584487915039,106.08553314208984,17.75042152404785,51.35993957519531
2013-01-03,62.88492965698242,161.1999969482422,17.86666488647461,17.9506893157959,101.61778259277344,46.23356246948242,32.380001068115234,115.95439910888672,24.749622344970703,27.990882873535156,47.097686767578125,14.021123886108398,46.22958755493164,115.73080444335938,40.023193359375,35.2330436706543,105.990234375,17.637624740600586,51.26729965209961
2013-01-04,63.21674728393555,160.44000244140625,18.219715118408203,18.305400848388672,104.38837432861328,46.14590072631836,32.220001220703125,116.52447509765625,24.789112091064453,27.78008270263672,47.09583282470703,14.457941055297852,46.29624557495117,116.23908233642578,40.3026123046875,35.520782470703125,106.43489837646484,17.70428466796875,51.50468444824219
2013-01-07,62.78767776489258,159.42999267578125,18.140220642089844,18.22552490234375,104.19435119628906,45.8975830078125,32.040000915527344,116.16023254394531,24.55215835571289,27.139833450317383,47.9119873046875,14.17866325378418,46.28955841064453,115.92139434814453,40.7816276550293,35.7745475769043,106.14901733398438,17.535085678100586,50.90835952758789
2013-01-08,62.507347106933594,160.55999755859375,18.104419708251953,18.18956184387207,103.25533294677734,46.17513656616211,32.2400016784668,115.84354400634766,24.38101577758789,27.155445098876953,47.75431442260742,14.071245193481445,46.429542541503906,115.58790588378906,40.342533111572266,36.10761642456055,105.8314437866211,17.583786010742188,51.22677993774414
2013-01-09,62.66753005981445,160.49000549316406,18.22342300415039,18.309123992919922,104.24092102050781,46.13859939575195,32.2599983215332,116.15234375,24.374427795410156,27.233539581298828,49.09797286987305,14.049768447875977,46.662818908691406,115.88169860839844,40.036495208740234,36.65821838378906,106.14901733398438,17.578664779663086,51.02992248535156
2013-01-10,63.1995964050293,161.97999572753906,18.306373596191406,18.392465591430664,106.60789489746094,46.46727752685547,32.540000915527344,117.03125762939453,24.32835578918457,27.756650924682617,48.66083526611328,14.565345764160156,47.196014404296875,116.8029556274414,40.12299346923828,36.36819839477539,106.92720794677734,17.524829864501953,51.58572769165039
2013-01-11,63.9204216003418,161.05999755859375,18.26958656311035,18.355506896972656,106.42167663574219,46.52571105957031,32.34000015258789,117.08666229248047,24.295433044433594,27.975276947021484,48.755828857421875,14.443620681762695,47.24266815185547,116.79497528076172,39.963321685791016,36.51548385620117,106.9748306274414,17.59404945373535,51.881004333496094
2013-01-14,64.5611801147461,161.5399932861328,17.85629653930664,17.940265655517578,105.64558410644531,46.36503219604492,32.439998626708984,116.9837417602539,24.348100662231445,27.623924255371094,48.27904510498047,14.372008323669434,47.51596450805664,116.715576171875,40.17621612548828,36.3999137878418,106.87955474853516,17.509449005126953,51.86363220214844
2013-01-15,64.89871978759766,162.55999755859375,17.89777374267578,17.98194122314453,105.22650909423828,46.70829772949219,32.63999938964844,117.03125762939453,24.56531524658203,28.05335235595703,48.21354675292969,14.629802703857422,47.72257995605469,116.79497528076172,40.64190673828125,36.354610443115234,106.92720794677734,17.683773040771484,51.83468246459961
