,XLE,XOP
2018-01-02,25.56290626525879,127.75486755371094
2018-01-03,25.94574737548828,129.02505493164062
2018-01-04,26.10235595703125,129.66018676757812
2018-01-05,26.09191131591797,128.82456970214844
2018-01-08,26.248533248901367,129.59332275390625
2018-01-09,26.182409286499023,129.3927764892578
2018-01-10,26.151081085205078,128.62396240234375
2018-01-11,26.687047958374023,131.69915771484375
2018-01-12,26.944595336914062,132.768798828125
2018-01-16,26.603527069091797,130.3621063232422
2018-01-17,26.836708068847656,131.46522521972656
2018-01-18,26.617446899414062,129.96102905273438
2018-01-19,26.582639694213867,129.42616271972656
2018-01-22,27.156888961791992,132.66854858398438
2018-01-23,27.115135192871094,133.20333862304688
2018-01-24,27.04203224182129,132.768798828125
2018-01-25,26.82973289489746,130.0613250732422
2018-01-26,26.975921630859375,130.5626678466797
2018-01-29,26.56871795654297,128.0222625732422
2018-01-30,26.03274917602539,123.57658386230469
2018-01-31,26.050155639648438,123.3760986328125
2018-02-01,26.31814193725586,123.97769927978516
2018-02-02,25.218355178833008,118.69635009765625
2018-02-05,24.160337448120117,114.88578796386719
2018-02-06,24.35175895690918,116.38997650146484
2018-02-07,23.944564819335938,112.6796646118164
2018-02-08,23.22066307067871,108.23397064208984
2018-02-09,23.20325469970703,108.26744079589844
2018-02-12,23.582609176635742,111.07524108886719
2018-02-13,23.48516273498535,109.57102966308594
2018-02-14,23.82622718811035,113.71588134765625
2018-02-15,23.767065048217773,113.94986724853516
2018-02-16,23.707901000976562,113.38160705566406
2018-02-20,23.579132080078125,113.04734802246094
2018-02-21,23.182373046875,110.33983612060547
2018-02-22,23.43643569946289,112.74652099609375
2018-02-23,23.944564819335938,115.78829193115234
2018-02-26,24.087255477905273,116.28971862792969
2018-02-27,23.77402687072754,113.54875946044922
2018-02-28,23.22761344909668,110.50699615478516
2018-03-01,23.19281578063965,111.6434555053711
2018-03-02,23.300697326660156,114.11699676513672
2018-03-05,23.54780387878418,116.18941497802734
2018-03-06,23.561717987060547,115.11979675292969
2018-03-07,23.384235382080078,113.94986724853516
2018-03-08,23.377277374267578,113.74930572509766
2018-03-09,23.8227481842041,116.22286224365234
2018-03-12,23.815786361694336,116.3565673828125
2018-03-13,23.645252227783203,115.85517120361328
2018-03-14,23.506046295166016,115.42061614990234
2018-03-15,23.384235382080078,113.84960174560547
2018-03-16,23.592788696289062,115.27294158935547
2018-03-19,23.228256225585938,112.39277648925781
2018-03-20,23.42453956604004,114.10079956054688
2018-03-21,24.037931442260742,118.8563461303711
2018-03-22,23.547216415405273,116.34461975097656
2018-03-23,23.40350914001465,116.21063232421875
2018-03-26,23.824125289916992,118.38750457763672
2018-03-27,23.59980010986328,115.50736236572266
2018-03-28,23.140626907348633,114.73706817626953
2018-03-29,23.627840042114258,117.9521255493164
2018-04-02,23.154651641845703,113.96681213378906
2018-04-03,23.648866653442383,115.90921783447266
2018-04-04,23.61732292175293,115.9762191772461
2018-04-05,24.041431427001953,119.29170989990234
2018-04-06,23.6068058013916,116.07669830322266
2018-04-09,23.718969345092773,116.244140625
2018-04-10,24.504114151000977,121.13368225097656
2018-04-11,24.759979248046875,123.34404754638672
2018-04-12,24.756473541259766,123.10960388183594
2018-04-13,25.029882431030273,125.18598175048828
2018-04-16,25.285743713378906,126.0902099609375
2018-04-17,25.383893966674805,126.89398956298828
2018-04-18,25.783470153808594,130.81231689453125
2018-04-19,25.815011978149414,130.54441833496094
2018-04-20,25.69233512878418,130.1425323486328
2018-04-23,25.850065231323242,131.0132293701172
2018-04-24,25.57316017150879,129.40573120117188
2018-04-25,25.77645492553711,131.0132293701172
2018-04-26,26.151500701904297,132.78823852539062
2018-04-27,25.87459945678711,130.376953125
2018-04-30,25.871095657348633,131.88401794433594
2018-05-01,25.713369369506836,131.2812042236328
2018-05-02,25.81852912902832,132.48683166503906
2018-05-03,25.75893211364746,130.24301147460938
2018-05-04,25.88511085510254,132.65428161621094
2018-05-07,25.920166015625,133.45803833007812
2018-05-08,26.12346076965332,136.20420837402344
2018-05-09,26.656238555908203,138.61550903320312
2018-05-10,26.856021881103516,139.2518310546875
2018-05-11,26.89458656311035,138.21363830566406
2018-05-14,27.080358505249023,139.9551239013672
2018-05-15,27.08736228942871,140.490966796875
2018-05-16,27.1820011138916,141.42872619628906
2018-05-17,27.592103958129883,145.74891662597656
2018-05-18,27.3782901763916,144.5432586669922
2018-05-21,27.658687591552734,148.09326171875
2018-05-22,27.290653228759766,144.2753448486328
2018-05-23,27.287153244018555,143.47158813476562
2018-05-24,26.838502883911133,141.3617401123047
2018-05-25,26.140989303588867,136.9075927734375
2018-05-29,26.06037139892578,137.51039123535156
2018-05-30,26.849021911621094,142.600830078125
2018-05-31,26.645727157592773,141.4956817626953
2018-06-01,26.771900177001953,141.1607666015625
2018-06-04,26.540578842163086,137.8787841796875
2018-06-05,26.477481842041016,137.5437774658203
2018-06-06,26.603662490844727,137.8787841796875
2018-06-07,27.006744384765625,141.3617401123047
2018-06-08,26.954174041748047,140.79238891601562
2018-06-11,27.094375610351562,141.79708862304688
2018-06-12,26.887577056884766,141.26124572753906
2018-06-13,26.78592872619629,141.1942901611328
2018-06-14,26.74737548828125,139.6537628173828
2018-06-15,26.17287826538086,135.59783935546875
2018-06-18,26.43401336669922,138.5164337158203
2018-06-19,26.374027252197266,139.7241973876953
2018-06-20,26.490476608276367,142.10601806640625
2018-06-21,25.999975204467773,138.4158172607422
2018-06-22,26.518705368041992,142.8776397705078
2018-06-25,25.985858917236328,139.12033081054688
2018-06-26,26.314029693603516,142.44149780273438
2018-06-27,26.666913986206055,144.38719177246094
2018-06-28,26.631629943847656,143.9511260986328
2018-06-29,26.7974796295166,144.45433044433594
2018-07-02,26.40225601196289,141.70350646972656
