Date,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MRVL,MU,NVDA,NXPI,ON,QCOM,SMH,SOXX,STM,TER,TSM,TXN
2013-01-02,32.97333526611328,9.84646224975586,2.5299999713897705,58.50741195678711,2.3591864109039307,15.289297103881836,3.0401811599731445,3.285831928253174,12.470776557922363,6.403716087341309,6.4651594161987305,0.293076753616333,24.52033042907715,7.369999885559082,45.028533935546875,14.58000373840332,15.64096450805664,5.621478080749512,16.086437225341797,12.789481163024902,22.232694625854492
2013-01-03,32.4412956237793,9.821512222290039,2.490000009536743,57.280826568603516,2.3715109825134277,15.246391296386719,3.0138092041015625,3.222203016281128,12.34145450592041,6.490367412567139,6.7284464836120605,0.2933073043823242,24.396982192993164,7.309999942779541,44.819908142089844,14.506258010864258,15.534403800964355,5.576022624969482,15.874896049499512,12.782415390014648,21.943679809570312
2013-01-04,31.864248275756836,9.821512222290039,2.5899999141693115,56.693824768066406,2.35628604888916,15.13196849822998,3.0039963722229004,3.229837417602539,12.271245002746582,6.767662525177002,6.7869553565979,0.302984356880188,24.088594436645508,7.420000076293945,44.15925598144531,14.419500350952148,15.52577018737793,5.53056526184082,15.911689758300781,12.690556526184082,21.895519256591797
2013-01-07,31.961673736572266,9.705081939697266,2.6700000762939453,55.77391052246094,2.343235731124878,15.196331977844238,2.982529878616333,3.187417984008789,12.25646686553955,6.78499174118042,7.001485347747803,0.2942289113998413,23.912395477294922,7.329999923706055,44.51393127441406,14.38045597076416,15.471048355102539,5.674510478973389,15.77372932434082,12.506841659545898,21.964326858520508
2013-01-08,31.631935119628906,9.572021484375,2.6700000762939453,55.31832504272461,2.3272860050201416,15.081911087036133,2.9052534103393555,3.137362241744995,12.038459777832031,6.854313373565674,7.050241947174072,0.28777748346328735,23.392545700073242,7.340000152587891,44.444374084472656,14.237302780151367,15.292498588562012,5.765424728393555,15.58977222442627,12.393784523010254,21.7097225189209
2013-01-09,31.549510955810547,9.713401794433594,2.630000114440918,55.63372039794922,2.378761053085327,15.339359283447266,2.9340784549713135,3.163663387298584,12.171478271484375,7.088281154632568,7.128252983093262,0.28132617473602295,23.709739685058594,7.449999809265137,45.11893844604492,14.068120956420898,15.43936824798584,5.788152694702148,15.635764122009277,12.393784523010254,22.019372940063477
2013-01-10,31.931690216064453,9.680137634277344,2.619999885559082,56.65879821777344,2.4302375316619873,15.589643478393555,2.9800772666931152,3.2111735343933105,12.396879196166992,7.348241806030273,7.235517978668213,0.2817869484424591,24.9432430267334,7.630000114440918,45.04938507080078,14.632059097290039,15.664007186889648,6.038162708282471,15.598973274230957,12.846009254455566,22.315258026123047
2013-01-11,31.66940689086914,9.738347053527832,2.6700000762939453,57.31587219238281,2.489687919616699,15.732669830322266,3.0168752670288086,3.261228084564209,12.41165828704834,7.46955680847168,7.352534770965576,0.28132617473602295,24.67010498046875,7.710000038146973,45.13285446166992,14.701468467712402,15.738883018493652,6.015435218811035,15.727738380432129,12.824810028076172,22.30837631225586
2013-01-14,31.654420852661133,9.771612167358398,2.640000104904175,56.42223358154297,2.5063624382019043,15.732669830322266,3.0003159046173096,3.2425646781921387,12.234294891357422,7.573541164398193,7.4110426902771,0.2810956835746765,24.996109008789062,7.659999847412109,44.67386245727539,14.636399269104004,15.71296501159668,5.969979286193848,15.488609313964844,12.725886344909668,22.253334045410156
2013-01-15,31.48954963684082,9.788246154785156,2.680000066757202,55.2657585144043,2.455612897872925,15.646857261657715,2.967810869216919,3.230687141418457,12.201044082641602,7.504216194152832,7.4110426902771,0.2760269045829773,24.92562484741211,7.599999904632568,44.812950134277344,14.48457145690918,15.626567840576172,6.023011684417725,15.359845161437988,12.641090393066406,22.212039947509766
2013-01-16,31.534513473510742,9.921306610107422,2.7200000286102295,55.91408157348633,2.505638837814331,15.811334609985352,2.9745566844940186,3.2510476112365723,12.32667350769043,7.564876556396484,7.479302406311035,0.2785613238811493,25.81550407409668,7.75,45.05634689331055,14.645073890686035,15.813761711120605,6.038162708282471,15.433423042297363,12.577497482299805,22.37030601501465
2013-01-17,32.2689208984375,10.312173843383789,2.740000009536743,59.88292694091797,2.52376389503479,16.218957901000977,3.182469367980957,3.3995165824890137,12.419048309326172,7.530215740203857,7.61582088470459,0.2822478115558624,26.414644241333008,7.829999923706055,45.299739837646484,15.000792503356934,16.113279342651367,6.310903549194336,15.70934772491455,12.902536392211914,22.810699462890625
2013-01-18,32.2689208984375,10.520079612731934,2.4600000381469727,60.6013298034668,2.4969382286071777,15.196331977844238,3.179403305053711,3.403759479522705,12.38948917388916,7.521549701690674,7.693831443786621,0.28040453791618347,26.10626220703125,7.75,44.97985076904297,14.822930335998535,16.044160842895508,6.288176536560059,15.755335807800293,12.817743301391602,23.065292358398438
2013-01-22,32.33638381958008,10.56997299194336,2.450000047683716,61.258419036865234,2.4969382286071777,15.139119148254395,3.176949977874756,3.400365114212036,12.278635025024414,7.694859981536865,7.645076751708984,0.27902209758758545,25.736209869384766,7.769999980926514,44.97985076904297,14.792561531066895,15.989439964294434,6.250295639038086,15.71854305267334,12.831876754760742,23.024003982543945
2013-01-23,32.48625564575195,10.561656951904297,2.7300000190734863,60.662662506103516,2.495488166809082,15.096213340759277,3.2106821537017822,3.4020628929138184,12.249079704284668,8.067468643188477,7.58656644821167,0.279482901096344,25.991722106933594,7.840000152587891,45.125885009765625,14.848958969116211,16.167999267578125,6.174534797668457,15.66335678100586,12.909602165222168,22.762523651123047
2013-01-24,32.54620361328125,10.478500366210938,2.7899999618530273,62.371089935302734,2.459963083267212,14.981797218322754,3.187375068664551,3.3528552055358887,12.282334327697754,7.89415979385376,7.635323524475098,0.2808653712272644,26.000532150268555,7.710000038146973,44.78512954711914,14.736174583435059,16.015357971191406,6.219989776611328,14.909165382385254,12.584564208984375,22.76941680908203
2013-01-25,32.82347106933594,10.669774055480957,2.8499999046325684,64.8680419921875,2.4766387939453125,14.988945007324219,3.455392837524414,3.549682378768921,12.304500579833984,7.9374871253967285,7.674327850341797,0.2859342694282532,26.51155662536621,7.800000190734863,44.27052688598633,14.861974716186523,16.21982765197754,6.492730617523193,15.23107624053955,12.542171478271484,22.569856643676758
2013-01-28,32.99583435058594,10.777883529663086,2.819999933242798,66.12088775634766,2.499838352203369,15.053298950195312,3.440673589706421,3.54119873046875,12.459693908691406,8.162785530090332,7.62557315826416,0.29054248332977295,26.872793197631836,7.920000076293945,44.27748107910156,14.892343521118164,16.260154724121094,6.432124137878418,14.991944313049316,12.379648208618164,22.735004425048828
2013-01-29,33.08576202392578,10.644824028015137,2.740000009536743,65.9456787109375,2.5063624382019043,15.217789649963379,3.4235005378723145,3.5403494834899902,12.407967567443848,8.1887845993042,7.391540050506592,0.2843213379383087,26.000532150268555,7.800000190734863,44.12449264526367,14.918366432189941,16.156471252441406,6.356361389160156,14.973543167114258,12.549237251281738,22.62419891357422
2013-01-30,33.10076141357422,10.694721221923828,2.6500000953674316,65.90186309814453,2.541163921356201,15.282145500183105,3.3836357593536377,3.532714605331421,12.478171348571777,8.032807350158691,7.459799766540527,0.2838607132434845,26.414644241333008,7.869999885559082,44.180118560791016,14.944397926330566,16.173748016357422,6.303327560424805,14.909165382385254,12.577497482299805,22.728076934814453
