,AMAT,LRCX
2013-01-02,9.846460342407227,3.2858314514160156
2013-01-03,9.821512222290039,3.222202777862549
2013-01-04,9.821512222290039,3.2298381328582764
2013-01-07,9.705083847045898,3.18741774559021
2013-01-08,9.572022438049316,3.1373629570007324
2013-01-09,9.713400840759277,3.1636626720428467
2013-01-10,9.680139541625977,3.211172103881836
2013-01-11,9.738348960876465,3.261228084564209
2013-01-14,9.771615982055664,3.2425644397735596
2013-01-15,9.788247108459473,3.230686664581299
2013-01-16,9.921305656433105,3.2510476112365723
2013-01-17,10.312171936035156,3.3995168209075928
2013-01-18,10.520078659057617,3.4037587642669678
2013-01-22,10.56997299194336,3.4003639221191406
2013-01-23,10.561656951904297,3.402061700820923
2013-01-24,10.478496551513672,3.3528542518615723
2013-01-25,10.669772148132324,3.549682378768921
2013-01-28,10.777884483337402,3.5411980152130127
2013-01-29,10.644819259643555,3.5403494834899902
2013-01-30,10.694719314575195,3.5327155590057373
2013-01-31,10.736300468444824,3.490295171737671
2013-02-01,10.952527046203613,3.539501905441284
2013-02-04,10.81114673614502,3.559863567352295
2013-02-05,11.160429954528809,3.613312005996704
2013-02-06,11.143796920776367,3.6116151809692383
2013-02-07,11.06063461303711,3.596343994140625
2013-02-08,11.318442344665527,3.61500883102417
2013-02-11,11.360023498535156,3.623493194580078
2013-02-12,11.360023498535156,3.6345224380493164
2013-02-13,11.451501846313477,3.642158031463623
2013-02-14,11.551298141479492,3.6396117210388184
2013-02-15,11.50107192993164,3.605675458908081
2013-02-19,11.626631736755371,3.6260387897491455
2013-02-20,11.375516891479492,3.559863567352295
2013-02-21,11.09091567993164,3.4707818031311035
2013-02-22,11.35877513885498,3.5658018589019775
2013-02-25,11.074177742004395,3.4665400981903076
2013-02-26,11.408994674682617,3.5335633754730225
2013-02-27,11.50107192993164,3.605675458908081
2013-02-28,11.475961685180664,3.588707685470581
2013-03-01,11.375516891479492,3.62094783782959
2013-03-04,11.35877513885498,3.613312005996704
2013-03-05,11.50107192993164,3.658277750015259
2013-03-06,11.44247817993164,3.657428503036499
2013-03-07,11.34203052520752,3.63112735748291
2013-03-08,11.333662033081055,3.6379148960113525
2013-03-11,11.316920280456543,3.598041296005249
2013-03-12,11.216473579406738,3.5904061794281006
2013-03-13,11.408994674682617,3.5768306255340576
2013-03-14,11.450850486755371,3.598888874053955
